src,rho,method,layer,kl,relL2
c4,0.25,bp,15,0.20004448682069778,0.6510586416721345
c4,0.25,bp,16,0.2055646613240242,0.5814243412017822
c4,0.25,bp,17,0.20841187119483948,0.714392900466919
c4,0.25,bp,18,0.13233362138271332,0.7031569516658783
c4,0.25,bp,19,0.15569964468479155,0.7101817321777344
c4,0.25,bp,20,0.17112652823328972,0.6195124495029449
c4,0.25,bp,21,0.1519527915120125,0.7132329332828522
c4,0.25,bp,22,0.15999951615929603,0.7147455739974976
c4,0.25,bp,23,0.12912953317165374,0.6724662244319916
c4,0.25,bp,24,0.16607071161270143,0.6244329607486725
c4,0.25,bp,25,0.14059179916977882,0.7362790429592132
c4,0.25,bp,26,0.16329625070095063,0.569743504524231
c4,0.25,bp,27,0.13021152704954148,0.6747949707508087
c4,0.25,bp,28,0.15132252097129822,0.6171276998519898
c4,0.25,bp,29,0.18524667531251907,0.5631381720304489
c4,0.25,bp,30,0.1558719888329506,0.5866513669490814
c4,0.25,bp,31,0.2503959310054779,0.5656716293096542
c4,0.25,c,0,0.009946268601343036,0.10807487204670906
c4,0.25,c,1,0.03680764265358448,0.29167193472385405
c4,0.25,c,2,0.023601514175534247,0.3953382223844528
c4,0.25,c,3,0.025295110456645488,0.4428531575202942
c4,0.25,c,4,0.03328896794468164,0.4654199707508087
c4,0.25,c,5,0.039209690690040586,0.41860298335552215
c4,0.25,c,6,0.05971268609166145,0.45314803838729856
c4,0.25,c,7,0.06577505379915237,0.4951892441511154
c4,0.25,c,8,0.07217971630394458,0.4991100072860718
c4,0.25,c,9,0.09306697338819504,0.5642482888698578
c4,0.25,c,10,0.11499737486243249,0.5511051976680755
c4,0.25,c,11,0.09385897755622864,0.5111674273014069
c4,0.25,c,12,0.10575670897960662,0.5340802645683289
c4,0.25,c,13,0.1059556034207344,0.4783000898361206
c4,0.25,c,14,0.12180740132927895,0.49143097281455994
c4,0.25,c,15,0.12217964187264442,0.5339572513103485
c4,0.25,c,16,0.11596100524067879,0.4402390122413635
c4,0.25,c,17,0.13950057864189147,0.584159471988678
c4,0.25,c,18,0.08551905512809753,0.563872172832489
c4,0.25,c,19,0.09099380344152451,0.5646240973472595
c4,0.25,c,20,0.10455990463495254,0.48753101110458374
c4,0.25,c,21,0.09604446217417717,0.5935416531562805
c4,0.25,c,22,0.1108950287103653,0.6224374091625213
c4,0.25,c,23,0.09402763992547988,0.6003256928920746
c4,0.25,c,24,0.10538605913519859,0.5179942423105239
c4,0.25,c,25,0.09582533046603203,0.6505638134479522
c4,0.25,c,26,0.10912467122077942,0.4878600966930389
c4,0.25,c,27,0.10698017477989197,0.6093859159946442
c4,0.25,c,28,0.11947466969490052,0.5682625305652619
c4,0.25,c,29,0.12126652970910072,0.4815226972103119
c4,0.25,c,30,0.1253380312025547,0.5637825697660446
c4,0.25,c,31,0.17521529048681259,0.4211101818084717
c4,0.25,d,0,0.0012492469698190689,0.02886790931224823
c4,0.25,d,1,0.01076369484886527,0.14371206670999526
c4,0.25,d,2,0.01067481653764844,0.2687175065279007
c4,0.25,d,3,0.014482398312538862,0.31648368537425997
c4,0.25,d,4,0.0171417922526598,0.3167953026294708
c4,0.25,d,5,0.02245828550308943,0.3132107377052307
c4,0.25,d,6,0.0326033727824688,0.3221612954139709
c4,0.25,d,7,0.03621716111898422,0.366036736369133
c4,0.25,d,8,0.04094121783971787,0.34844494104385376
c4,0.25,d,9,0.05317507430911064,0.38246085822582243
c4,0.25,d,10,0.06447624944150449,0.46933201372623445
c4,0.25,d,11,0.054603439643979075,0.3825223797559738
c4,0.25,d,12,0.05518550083041191,0.36777706801891324
c4,0.25,d,13,0.05610836945474148,0.3478125989437103
c4,0.25,d,14,0.0652013048529625,0.36973961651325227
c4,0.25,d,15,0.07018360525369643,0.40737116932868955
c4,0.25,d,16,0.06183326683938503,0.3273491185903549
c4,0.25,d,17,0.0656413833796978,0.46246584713459016
c4,0.25,d,18,0.05184810355305672,0.43721091270446777
c4,0.25,d,19,0.05142763935029507,0.4412573003768921
c4,0.25,d,20,0.05648600392043591,0.3623467445373535
c4,0.25,d,21,0.05251458309590817,0.4674137258529663
c4,0.25,d,22,0.06556552484631538,0.4632900160551071
c4,0.25,d,23,0.06469998128712177,0.5265883457660675
c4,0.25,d,24,0.0649788273125887,0.4148647749423981
c4,0.25,d,25,0.0671328742802143,0.5354299521446229
c4,0.25,d,26,0.0702521988749504,0.4052248513698578
c4,0.25,d,27,0.0765989276766777,0.5379364866018296
c4,0.25,d,28,0.08098762154579163,0.48803255379199983
c4,0.25,d,29,0.07374101296067238,0.3815276080369949
c4,0.25,d,30,0.0792600965499878,0.4752884221076965
c4,0.25,d,31,0.10955585867166519,0.32105992138385775
c4,0.5,a,0,1.2732026988260259e-08,0.0001757652676315047
c4,0.5,a,1,7.675879362523119e-07,0.0009914040996227412
c4,0.5,a,2,6.08874475437915e-05,0.017802179232239722
c4,0.5,a,3,0.0008801498159300535,0.06634181387722492
c4,0.5,a,4,0.0009369140258058906,0.06630592770874501
c4,0.5,a,5,0.0015853657852858305,0.08669192090630531
c4,0.5,a,6,0.003222949644550681,0.1120738960802555
c4,0.5,a,7,0.003150510359555483,0.11482084989547729
c4,0.5,a,8,0.0039673917228356,0.13729942306876183
c4,0.5,a,9,0.005291226878762245,0.11633214756846427
c4,0.5,a,10,0.004479366238228977,0.0990739743411541
c4,0.5,a,11,0.0047861150186508895,0.12787820756435395
c4,0.5,a,12,0.0056326493341475724,0.11953953012824059
c4,0.5,a,13,0.004949016990140081,0.10168398648500443
c4,0.5,a,14,0.005578363360837102,0.11226488679647445
c4,0.5,a,15,0.007679314576089382,0.13176724836230277
c4,0.5,a,16,0.005698430407792329,0.09856225907802582
c4,0.5,a,17,0.005842578243464232,0.119537955224514
c4,0.5,a,18,0.007157638287171721,0.14687784671783446
c4,0.5,a,19,0.006051741437986493,0.1422646963596344
c4,0.5,a,20,0.006168083809316158,0.11154710158705711
c4,0.5,a,21,0.005179537581279874,0.12449482500553131
c4,0.5,a,22,0.007761795939877629,0.14056501895189286
c4,0.5,a,23,0.007402474386617541,0.14308588832616806
c4,0.5,a,24,0.006574624050408602,0.1106897197663784
c4,0.5,a,25,0.010421654339879752,0.19198705673217772
c4,0.5,a,26,0.011050218492746353,0.1497037672996521
c4,0.5,a,27,0.009835336059331894,0.1627541473507881
c4,0.5,a,28,0.012693070881068707,0.1493763104081154
c4,0.5,a,29,0.008745126221328973,0.11722702249884605
c4,0.5,a,30,0.007882621493190528,0.11597811698913574
c4,0.5,a,31,0.006356754377484322,0.051186807453632355
c4,0.5,b,0,0.003443189556710422,0.0714503676444292
c4,0.5,b,1,0.013203282598406077,0.1856519091129303
c4,0.5,b,2,0.009927666690200567,0.23924742728471757
c4,0.5,b,3,0.012126820143312216,0.2747643491625786
c4,0.5,b,4,0.016825073566287756,0.3219252419471741
c4,0.5,b,5,0.018759224712848663,0.2750595733523369
c4,0.5,b,6,0.02292673248797655,0.27363104045391085
c4,0.5,b,7,0.025451325364410877,0.3174157792329788
c4,0.5,b,8,0.029916374161839485,0.3279122626781464
c4,0.5,b,9,0.04348674908280373,0.4544609707593918
c4,0.5,b,10,0.0546827682107687,0.44175072133541105
c4,0.5,b,11,0.03280844427645206,0.30641895592212676
c4,0.5,b,12,0.04498521842062473,0.3624291038513184
c4,0.5,b,13,0.047404047846794126,0.3564242202043533
c4,0.5,b,14,0.05151030220091343,0.36540646135807037
c4,0.5,b,15,0.053564104810357095,0.3592646551132202
c4,0.5,b,16,0.048971077129244804,0.2908063143491745
c4,0.5,b,17,0.0509125941991806,0.41413065254688264
c4,0.5,b,18,0.03841017622500658,0.3789656746387482
c4,0.5,b,19,0.034940804690122604,0.365125287771225
c4,0.5,b,20,0.039824703708291054,0.31608610689640043
c4,0.5,b,21,0.029800897799432277,0.36007080376148226
c4,0.5,b,22,0.050167771130800246,0.45218579649925233
c4,0.5,b,23,0.038115088939666746,0.4127759999036789
c4,0.5,b,24,0.040717798396945,0.3360068506002426
c4,0.5,b,25,0.036427420750260356,0.4105592042207718
c4,0.5,b,26,0.04485203318297863,0.3273659920692444
c4,0.5,b,27,0.04915705323219299,0.43387224853038786
c4,0.5,b,28,0.05322572082281113,0.40187209606170654
c4,0.5,b,29,0.048419486880302426,0.3068999063968658
c4,0.5,b,30,0.0650300158560276,0.4194959759712219
c4,0.5,b,31,0.08135778531432152,0.25969934701919556
c4,0.5,bp,0,0.004025657158344984,0.07906942673027516
c4,0.5,bp,1,0.020341872237622738,0.21732067435979843
c4,0.5,bp,2,0.016699635051190855,0.32062943279743195
c4,0.5,bp,3,0.018166989870369434,0.3610739803314209
c4,0.5,bp,4,0.02450567327439785,0.3963087522983551
c4,0.5,bp,5,0.028308795392513277,0.35090521156787874
c4,0.5,bp,6,0.04514047130942345,0.39283387899398803
c4,0.5,bp,7,0.04948157876729965,0.44525551319122314
c4,0.5,bp,8,0.053823283538222313,0.427324937582016
c4,0.5,bp,9,0.07016058586537838,0.5453960818052291
c4,0.5,bp,10,0.08857520148158074,0.5096321260929108
c4,0.5,bp,11,0.08772921673953533,0.48958075523376465
c4,0.5,bp,12,0.0899316817522049,0.5009608483314514
c4,0.5,bp,13,0.08271209374070168,0.4375248634815216
c4,0.5,bp,14,0.11222903907299042,0.4912116253376007
c4,0.5,bp,15,0.09006994098424911,0.47171848475933076
c4,0.5,bp,16,0.08887183152139187,0.3867108601331711
c4,0.5,bp,17,0.09271446466445923,0.5018755662441253
c4,0.5,bp,18,0.058919305205345156,0.4875745379924774
c4,0.5,bp,19,0.06617241077125073,0.492594952583313
c4,0.5,bp,20,0.07635497733950615,0.42546988546848297
c4,0.5,bp,21,0.06312091961503029,0.48902670860290526
c4,0.5,bp,22,0.07639991126954555,0.5259117782115936
c4,0.5,bp,23,0.0534377733618021,0.47050867676734925
c4,0.5,bp,24,0.06914876148104668,0.43171812236309054
c4,0.5,bp,25,0.06217158116400242,0.5244704312086106
c4,0.5,bp,26,0.0746700819581747,0.4024085658788681
c4,0.5,bp,27,0.0640822447091341,0.47920432686805725
c4,0.5,bp,28,0.07947688594460488,0.46645000994205477
c4,0.5,bp,29,0.08993037015199662,0.40471446633338926
c4,0.5,bp,30,0.08637341022491456,0.4489961153268814
c4,0.5,bp,31,0.12838993832468987,0.33796074986457825
c4,0.5,c,0,0.0011845529777929186,0.04119794595986605
c4,0.5,c,1,0.007993022622540593,0.10493102669715881
c4,0.5,c,2,0.007952088275924325,0.21006887197494506
c4,0.5,c,3,0.01059344043955207,0.2520253622531891
c4,0.5,c,4,0.013852592799812555,0.288149248957634
c4,0.5,c,5,0.016752419341355563,0.2549425503611565
c4,0.5,c,6,0.021873672492802143,0.2561228147149086
c4,0.5,c,7,0.02301158469170332,0.2971819442510605
c4,0.5,c,8,0.026712329536676408,0.2954047912359238
c4,0.5,c,9,0.03879049852490425,0.3903390800952911
c4,0.5,c,10,0.04574430204927921,0.3741770768165588
c4,0.5,c,11,0.03020814076066017,0.31231501817703244
c4,0.5,c,12,0.04132749520242214,0.326025111079216
c4,0.5,c,13,0.042198977023363116,0.3254677253961563
c4,0.5,c,14,0.045087858363986016,0.3293584477901459
c4,0.5,c,15,0.04915645986795426,0.3332766646146774
c4,0.5,c,16,0.0423380658775568,0.27014046639204026
c4,0.5,c,17,0.049696414694190026,0.36804436445236205
c4,0.5,c,18,0.03463756550103426,0.34761460781097414
c4,0.5,c,19,0.03329093288630247,0.34269977390766143
c4,0.5,c,20,0.036844105385243894,0.31336775243282317
c4,0.5,c,21,0.031221107542514802,0.3397406703233719
c4,0.5,c,22,0.04623773083090782,0.42501922607421877
c4,0.5,c,23,0.03944221310317517,0.4024945545196533
c4,0.5,c,24,0.04027931444346905,0.32970732510089873
c4,0.5,c,25,0.04006793461740017,0.4148382443189621
c4,0.5,c,26,0.04402064897119999,0.3142024874687195
c4,0.5,c,27,0.04882287628948689,0.41640127658843995
c4,0.5,c,28,0.053417884856462476,0.39303697407245636
c4,0.5,c,29,0.05054672308266163,0.3137303155660629
c4,0.5,c,30,0.05857767209410667,0.40658299684524535
c4,0.5,c,31,0.07925593107938766,0.25742079466581347
c4,0.5,d,0,6.311813827778678e-05,0.006375765837728978
c4,0.5,d,1,0.0016617177915759385,0.045208375975489615
c4,0.5,d,2,0.004336645491421222,0.14923533618450166
c4,0.5,d,3,0.006623136401176452,0.18309380620718002
c4,0.5,d,4,0.008499869285151363,0.2064812308549881
c4,0.5,d,5,0.011381270568817855,0.2053607627749443
c4,0.5,d,6,0.015702694188803434,0.20960194557905198
c4,0.5,d,7,0.017584293633699417,0.2525033813714981
c4,0.5,d,8,0.019327600859105586,0.24375226467847824
c4,0.5,d,9,0.02715383391827345,0.26560253322124483
c4,0.5,d,10,0.02896246314048767,0.25937178552150725
c4,0.5,d,11,0.027267500795423984,0.2737861481308937
c4,0.5,d,12,0.02790444079786539,0.24853601604700087
c4,0.5,d,13,0.02757491547614336,0.23441509276628494
c4,0.5,d,14,0.032371484972536564,0.2524491947889328
c4,0.5,d,15,0.03675972431898117,0.28093785464763643
c4,0.5,d,16,0.029260062389075758,0.2124755498766899
c4,0.5,d,17,0.02893295656889677,0.27172503620386124
c4,0.5,d,18,0.027285575941205023,0.29211150646209716
c4,0.5,d,19,0.02365092162042856,0.2789531421661377
c4,0.5,d,20,0.027220594212412835,0.23603917479515077
c4,0.5,d,21,0.022853656634688378,0.2650779926776886
c4,0.5,d,22,0.03175537034869194,0.2987344115972519
c4,0.5,d,23,0.03266413789242506,0.3509150820970535
c4,0.5,d,24,0.030809210129082203,0.2649286115169525
c4,0.5,d,25,0.03902483902871609,0.3760676097869873
c4,0.5,d,26,0.03792372114956379,0.2851816686987877
c4,0.5,d,27,0.04023220084607601,0.37516462802886963
c4,0.5,d,28,0.04289318315684795,0.3340108346939087
c4,0.5,d,29,0.03928963921964169,0.26026364028453824
