layer,head,mean_gap,p99,p999,cum4,cum8,cum16,cum32
4,2,1599.2013229997308,5,18,0.9879658676535695,0.9954083561871341,0.99876337837448,0.9999341026086215
4,3,1862.71843935576,12,26,0.9400499945092202,0.9762840794272512,0.9960987634858255,0.9997535482595046
4,4,1648.1146045577068,11,25,0.9583591232061094,0.9826314242657594,0.9962144533725704,0.9996339709573585
4,5,1401.8054941571795,6,28,0.9827160374231858,0.9925747335483076,0.9966081922465628,0.999484200183824
4,6,1777.2397776815828,9,24,0.969109963965121,0.9894946078282256,0.9973786293885721,0.9997296396055075
4,7,1698.9459448374946,9,26,0.9732870544474339,0.9894647412124662,0.9973332019875026,0.9995303857994221
4,8,1830.20917555922,9,24,0.9791406944230032,0.9889657800070398,0.9961317686940905,0.9998753523295593
4,9,1764.5326904977755,7,22,0.9762869724434812,0.9935454856359588,0.9978478873175971,0.9998955745509428
4,10,1765.9986259902835,8,20,0.967643019500965,0.9901082653347181,0.998239285076852,0.9998871143443766
4,11,1686.961160288195,10,25,0.9518243926089457,0.9844372160287039,0.9967411091718275,0.9996652652336651
4,12,1581.5601031689591,6,24,0.9875608323402207,0.9927949525744275,0.9971772822605296,0.999738439747829
4,13,1673.1617630102137,10,27,0.9754937668144338,0.987863016202655,0.9962662878968572,0.9995572997609689
4,14,1696.3475383423588,8,22,0.9795828191774485,0.9917734588786415,0.9975363530407463,0.9998724201180345
4,15,1740.6231224009582,7,20,0.9817162631510328,0.9932781976581861,0.9983558806245457,0.999885897848118
4,16,1640.5349846946242,13,29,0.9741351632884763,0.9838146758985901,0.9932328233614378,0.9994404682590166
4,17,1667.9087206821725,6,23,0.9863394717680394,0.9928305389852347,0.9973145247068624,0.9998307748128997
4,18,1699.131627447011,9,22,0.9688752336378279,0.988989993948632,0.9976345417794015,0.9998860136509135
4,19,1761.4149873448118,9,21,0.9770592124935074,0.9898579224944454,0.997936628394576,0.9999051020976865
4,20,1609.7616247297933,4,20,0.9901738178601868,0.9956588227787735,0.99843198536143,0.9998807952176733
4,21,1488.0319189847107,4,20,0.9909767852751414,0.9959691088914626,0.9984388072697842,0.999895394000263
4,22,1724.4287358257104,9,19,0.958436754112374,0.9883317693607769,0.998624543196885,0.9999023058910737
4,23,1662.16414415224,6,21,0.9791753949853118,0.9935709163263453,0.9982794032833865,0.999896460185873
4,24,1853.1364314150255,8,18,0.9794488409252267,0.9920432881026117,0.9986984131719787,0.9999368400219778
4,25,1741.2237515197244,7,20,0.9833411806252125,0.9928424909888921,0.9985669982142829,0.9998938436755108
4,26,1587.1489822796614,7,14,0.9762750276462749,0.9940664050157113,0.9993034889339883,0.9999609842869774
4,27,1806.3909796610915,8,19,0.9735573497790458,0.9908212183838477,0.9986655502372747,0.9999149945467055
4,28,1732.714498931553,6,18,0.9806176466531803,0.9954910195973488,0.9987405765555067,0.9999125334245597
4,29,1643.6077004685367,8,22,0.9636918203134163,0.9917222593584727,0.9978411679681181,0.9998533953742683
4,30,1476.8395707303002,6,22,0.9861434133312408,0.9942581358183737,0.9978473059484458,0.9998930749252151
4,31,1802.3714872847802,4,18,0.9908224223152577,0.9959632682344853,0.9988143305546306,0.9999371269921562
5,0,1612.5119975732923,7,11,0.9775958263312764,0.995637013434231,0.9996547455238155,0.9999751024431216
5,1,1527.673084237609,5,20,0.9888581497536321,0.9946801887325417,0.9982419838649985,0.9999174046508662
5,2,1875.4119587793193,20,36,0.9545398723182673,0.9690045628924583,0.9858695910492271,0.9977936651799543
5,3,1869.079205972656,14,34,0.9712246397641447,0.9826669085901846,0.9927849239093234,0.9987463744810284
5,4,1562.4913783800273,4,11,0.9912303152981726,0.998481409983116,0.9995741968647877,0.9999805301303999
5,5,1869.3896773195802,3,16,0.9945907923193071,0.9971595577348009,0.9991036555051446,0.9999265564609915
5,6,1726.502535419201,5,20,0.9886260068361591,0.9937474011671045,0.9977610280565005,0.9998980381913662
5,7,1650.4650541577396,9,25,0.97883004540851,0.9898940220327684,0.9961434672432374,0.9997084293874513
5,8,1607.7315136347622,9,23,0.9629200232455913,0.9886327333263829,0.9973330292373171,0.9998498153874709
5,9,1646.9207761294074,9,22,0.9571690113160923,0.9897909123333962,0.9976488121607596,0.9998222499710172
5,10,1476.9455958561816,7,20,0.9748022235434421,0.9934305053401496,0.9984324715308305,0.9999172872698004
5,11,1835.244912493121,7,21,0.9810094693291628,0.9927266037258747,0.997928014554073,0.9999340032585303
5,12,1593.1850674889902,4,18,0.9919200255317111,0.9963717806238263,0.9988202249396876,0.9999175499256842
5,13,1513.0088382667664,10,27,0.9803936737254006,0.9886395780745044,0.9951583023415105,0.9996079192619481
5,14,1703.7836839337265,6,19,0.9861766145434094,0.9943609489969709,0.9985091582726109,0.9998846617005607
5,15,127.16524763641698,4,18,0.9908601408663441,0.9957260174021293,0.9986288231705471,0.9999516078754512
5,16,1702.6385451996389,9,18,0.9703087943454197,0.9887078243538839,0.9986572675605336,0.999912240564419
5,17,1815.0590888847596,11,28,0.9742916540542975,0.9867950706654699,0.996217076588021,0.9995198078455653
5,18,1748.2478082357788,8,22,0.973829157782987,0.9912561175488761,0.9979958197569025,0.999818188918071
5,19,1625.9930037869608,6,21,0.9857316844803217,0.9936776283598219,0.9979399601018768,0.9998495146299272
5,20,1273.2948585908377,3,18,0.9932956100544076,0.996372165337651,0.998695239080021,0.9998747632562953
5,21,1603.2324850459352,5,24,0.9883424526177645,0.9940903147285153,0.9974812817737398,0.9996327788887928
5,22,1661.9296119592009,6,22,0.9850876995039441,0.9944556820133207,0.9979323101704701,0.9998464545230025
5,23,1442.054378501448,5,22,0.9885790609381154,0.9943366826136069,0.9978685304878607,0.9998511590108838
5,24,1739.8021355805756,7,19,0.983914800843917,0.9935722975719771,0.9984908128439436,0.9998758784670877
5,25,1928.3612392584682,7,24,0.986366186351375,0.9922278751561616,0.9974199602275317,0.9997810142979929
5,26,1869.5610563724538,7,21,0.9821202502788628,0.9924942728477857,0.9981689074803551,0.9998129027271674
5,27,1900.9999314598233,7,25,0.9853504891249206,0.9912774614080611,0.996931402969883,0.9996833897589047
5,28,1683.3256944579616,8,24,0.9817801255943781,0.991713221886895,0.9972829388149516,0.9996763412345046
5,29,1751.5603712363081,6,20,0.986982905252934,0.9943815412143855,0.9983168391317043,0.9999316656764015
5,30,1563.758073168495,5,18,0.989366835435304,0.996526897334905,0.998793007479445,0.9999347662475441
