src,seq,layer,method,rho,kl,relL2
c4,0,13,a,0.25,0.015253130346536636,0.17226994037628174
c4,0,13,a,0.125,0.02822847105562687,0.23812377452850342
c4,0,13,b,0.5,0.04734250158071518,0.3649957776069641
c4,0,13,b,0.25,0.11691649258136749,0.5329165458679199
c4,0,13,b,0.125,0.19958613812923431,0.6590290069580078
c4,0,13,bp,0.5,0.08116759359836578,0.4559609591960907
c4,0,13,bp,0.25,0.171996608376503,0.6195802092552185
c4,0,13,bp,0.125,0.2877523601055145,0.7417852878570557
c4,0,13,c,0.5,0.04139082878828049,0.33038395643234253
c4,0,13,c,0.25,0.1023550033569336,0.48866984248161316
c4,0,13,c,0.125,0.17651841044425964,0.6213200688362122
c4,0,13,d,0.5,0.027722198516130447,0.2394738495349884
c4,0,13,d,0.25,0.05526680499315262,0.3507329225540161
c4,0,13,d,0.125,0.08665457367897034,0.4415453374385834
c4,0,14,a,0.5,0.005819648038595915,0.11808546632528305
c4,0,14,a,0.25,0.017897631973028183,0.19896194338798523
c4,0,14,a,0.125,0.03251252323389053,0.26267361640930176
c4,0,14,b,0.5,0.05267590284347534,0.3770606517791748
c4,0,14,b,0.25,0.14185476303100586,0.5425282716751099
c4,0,14,b,0.125,0.25860530138015747,0.6798174977302551
c4,0,14,bp,0.5,0.1105860024690628,0.4933011829853058
c4,0,14,bp,0.25,0.2724742293357849,0.6942203640937805
c4,0,14,bp,0.125,0.4677456021308899,0.8375630974769592
c4,0,14,c,0.5,0.046327248215675354,0.34142541885375977
c4,0,14,c,0.25,0.12036152184009552,0.49456989765167236
c4,0,14,c,0.125,0.22090791165828705,0.6383858323097229
c4,0,14,d,0.5,0.032144591212272644,0.25456905364990234
c4,0,14,d,0.25,0.06475639343261719,0.3757699728012085
c4,0,14,d,0.125,0.09993672370910645,0.46137484908103943
c4,0,15,a,0.5,0.008042976260185242,0.13537254929542542
c4,0,15,a,0.25,0.023318927735090256,0.23092937469482422
c4,0,15,a,0.125,0.03882960230112076,0.2964267134666443
c4,0,15,b,0.5,0.05467601120471954,0.36753278970718384
c4,0,15,b,0.25,0.13850685954093933,0.5726752877235413
c4,0,15,b,0.125,0.23424208164215088,0.6966325640678406
c4,0,15,bp,0.5,0.08968167006969452,0.47346070408821106
c4,0,15,bp,0.25,0.19571369886398315,0.6502221822738647
c4,0,15,bp,0.125,0.31887173652648926,0.7660720348358154
c4,0,15,c,0.5,0.050187788903713226,0.340582937002182
c4,0,15,c,0.25,0.12242608517408371,0.542023777961731
c4,0,15,c,0.125,0.20833277702331543,0.6668301224708557
c4,0,15,d,0.5,0.037832800298929214,0.28822100162506104
c4,0,15,d,0.25,0.07157403230667114,0.41651925444602966
c4,0,15,d,0.125,0.11100471764802933,0.5114536881446838
c4,0,16,a,0.5,0.0058224862441420555,0.10003989189863205
c4,0,16,a,0.25,0.017630361020565033,0.172653466463089
c4,0,16,a,0.125,0.03128616511821747,0.23290380835533142
c4,0,16,b,0.5,0.050044119358062744,0.29898449778556824
c4,0,16,b,0.25,0.14063943922519684,0.49474775791168213
c4,0,16,b,0.125,0.24330410361289978,0.6239463090896606
c4,0,16,bp,0.5,0.09156648814678192,0.39923569560050964
c4,0,16,bp,0.25,0.20457050204277039,0.5843955874443054
c4,0,16,bp,0.125,0.3355488181114197,0.7178037762641907
c4,0,16,c,0.5,0.043644510209560394,0.28069376945495605
c4,0,16,c,0.25,0.11775737255811691,0.4536281228065491
c4,0,16,c,0.125,0.20702767372131348,0.5774932503700256
c4,0,16,d,0.5,0.02986735850572586,0.2177877277135849
c4,0,16,d,0.25,0.0619451105594635,0.3312385380268097
c4,0,16,d,0.125,0.10107160359621048,0.4215000867843628
c4,0,17,a,0.5,0.005909823812544346,0.1215415969491005
c4,0,17,a,0.25,0.015931762754917145,0.19967907667160034
c4,0,17,a,0.125,0.029319919645786285,0.293405681848526
c4,0,17,b,0.5,0.05033176764845848,0.42410245537757874
c4,0,17,b,0.25,0.14496514201164246,0.6529883742332458
c4,0,17,b,0.125,0.23507912456989288,0.7720586061477661
c4,0,17,bp,0.5,0.08852697908878326,0.5152006149291992
c4,0,17,bp,0.25,0.19526511430740356,0.7268414497375488
c4,0,17,bp,0.125,0.3038351535797119,0.8398699164390564
c4,0,17,c,0.5,0.04886379837989807,0.37188220024108887
c4,0,17,c,0.25,0.13254332542419434,0.5896391272544861
c4,0,17,c,0.125,0.2182934582233429,0.7206811904907227
c4,0,17,d,0.5,0.028234075754880905,0.27568578720092773
c4,0,17,d,0.25,0.063422292470932,0.4688844680786133
c4,0,17,d,0.125,0.10456669330596924,0.583199679851532
c4,0,18,a,0.5,0.007332931272685528,0.1470927894115448
c4,0,18,a,0.25,0.016919679939746857,0.22265391051769257
c4,0,18,a,0.125,0.02862747572362423,0.3064537048339844
c4,0,18,b,0.5,0.039014313369989395,0.3880254328250885
c4,0,18,b,0.25,0.09661365300416946,0.6180789470672607
c4,0,18,b,0.125,0.15906871855258942,0.7697742581367493
c4,0,18,bp,0.5,0.059659551829099655,0.5030385851860046
c4,0,18,bp,0.25,0.130210742354393,0.718248188495636
